Year	Station	Annual_DIN_flux	precip	precip_JJAS	precip_JAS	precip_JASO	precip_ASO	pre_gt_10	pre_gt_20	pre_gt_10_JJAS	pre_gt_20_JJAS	pre_gt_10_JAS	pre_gt_20_JAS	pre_gt_10_JASO	pre_gt_20_JASO	pre_gt_10_ASO	pre_gt_20_ASO	R90pTOT	R95pTOT	R99pTOT	R90pTOT_JJAS_1	R95pTOT_JJAS_1	R99pTOT_JJAS_1	R90pTOT_JAS_1	R95pTOT_JAS_1	R99pTOT_JAS_1	R90pTOT_JASO_1	R95pTOT_JASO_1	R99pTOT_JASO_1	R90pTOT_ASO_1	R95pTOT_ASO_1	R99pTOT_ASO_1	R90pTOT_JJAS_2	R95pTOT_JJAS_2	R99pTOT_JJAS_2	R90pTOT_JAS_2	R95pTOT_JAS_2	R99pTOT_JAS_2	R90pTOT_JASO_2	R95pTOT_JASO_2	R99pTOT_JASO_2	R90pTOT_ASO_2	R95pTOT_ASO_2	R99pTOT_ASO_2	temp_annual	temp_JJAS	temp_JAS	temp_JASO	temp_ASO	fert_kgN_km2	ln_fert	fert_dep_kgN_km2	ln_fert_dep	LSC_MCM	LSC_MCM_mm	LSC
1980	Jenapur	NA	1414.95059235943	1192.9671789	875.6955965	939.874227577	562.489015577	57	13	49	13	40	7	43	7	26	2	357.02512	163.61731	0	357.02512	163.61731	0	177.17821	57.96027	0	177.17821	57.96027	0	48.03109	27.78229	0	293.39573	105.65704	0	135.19923	0	0	135.19923	30.17798	0	27.78229	0	0	26.4398493507717	28.1088357204301	27.680820516129	27.3729402308468	27.249689125	398.942948537968	5.98881842054599	741.052948537968	6.60807207826009	671.36	0.474475931262382	0.0139736690108197
1981	Jenapur	NA	1245.7113145612	988.7406971983	805.83819485	831.87633827	556.22494477	37	6	36	6	33	4	33	4	22	2	203.59079	159.47515	56.04607	203.59079	159.47515	56.04607	113.36878	69.25314	0	113.36878	69.25314	0	69.25314	69.25314	0	182.77933	159.47515	56.04607	69.25314	69.25314	0	92.55732	69.25314	0	69.25314	69.25314	0	25.703014262296	28.4259072741935	27.7589320322581	27.3963851179435	27.2886378991935	441.953425907601	6.09120450527599	799.232975907601	6.68365248762877	671.36	0.538937065235283	0.015872097341637
1982	Jenapur	NA	1218.91443530609	968.89589141299	758.66722941299	781.37611335499	595.74868390495	39	12	34	12	29	11	29	11	23	10	392.41179	168.49043	65.71977	392.41179	168.49043	65.71977	326.69202	102.77066	0	326.69202	102.77066	0	302.81695	102.77066	0	245.3907	139.46765	65.71977	179.67093	73.74788	0	224.29718	73.74788	0	222.00915	73.74788	0	26.3014285998643	28.9431316962366	28.4058043727599	27.9861897639449	27.3723609755824	484.963903277233	6.1840744619352	857.413003277233	6.7539197199892	671.6	0.550982071051895	0.0162268317199792
1983	Jenapur	NA	1622.5813450251	1247.04034477	1111.5839441	1241.8397599	952.5895678	52	17	44	15	39	14	42	16	34	13	578.05388	389.04465	53.78306	533.70489	389.04465	53.78306	512.07417	389.04465	53.78306	556.42316	389.04465	53.78306	457.82767	312.97973	53.78306	411.57522	332.47806	53.78306	389.04465	332.47806	53.78306	434.68964	332.47806	53.78306	357.32872	284.07841	53.78306	25.8502530855307	28.9446238790323	27.935506172043	27.4077370509073	27.0378817668011	527.974380646866	6.26904776102691	915.593030646866	6.8195719762614	677.02	0.417248726589746	0.0122882852772713
1984	Jenapur	NA	1615.14554526007	1459.10413737	1092.50847137	1165.798599969	803.333613969	52	21	51	20	38	16	39	17	25	14	723.81803	605.67222	173.45117	686.51079	568.36498	173.45117	530.40257	412.25676	113.34662	567.70981	449.564	113.34662	492.7486	419.29646	113.34662	643.40788	393.81448	173.45117	464.31471	296.04107	113.34662	524.6069	363.61585	113.34662	492.7486	363.0467	113.34662	25.6011366332345	27.5825982688172	27.1238961362007	26.8743408521505	26.7130993082437	570.984858016498	6.34736269094449	973.773058016498	6.88117827651076	4109.37	2.54427225587172	0.0749307099358481
1985	Jenapur	NA	1580.5755656225	1226.76035145	1081.4089242	1279.681160696	939.583531296	49	17	43	14	41	13	45	15	30	11	618.49151	421.01864	87.6893	469.8673	293.27181	0	437.03057	260.43508	0	564.7774	388.18191	87.6893	467.56993	360.01274	87.6893	346.16927	205.2303	0	313.33254	172.39357	0	441.07937	330.14788	87.6893	407.22287	360.01274	87.6893	25.7838545605926	28.0056070322581	27.0143997096774	26.5394733760081	26.3888793400538	613.995335386131	6.41998733102729	1031.95308538613	6.93920848511102	4193.71	2.65328029308636	0.078141077693605
1986	Jenapur	NA	1556.8621387128	1135.71467461	845.24986592	986.92643696	558.14378696	50	19	38	17	29	11	35	12	17	5	566.84286	358.76585	58.74209	521.71766	358.76585	58.74209	338.34505	223.89766	58.74209	361.91266	223.89766	58.74209	157.9864	88.48865	58.74209	479.88803	214.56696	58.74209	296.51542	135.81451	58.74209	320.08303	165.79092	58.74209	136.81023	88.48865	58.74209	25.5049042084379	27.9584994623656	27.2375935053763	26.7349458321573	26.6450297116935	619.982570849902	6.42969136611158	1053.1098708499	6.95950284747899	4227.24	2.71523078048198	0.0799655656157261
1987	Jenapur	NA	1270.46437917413	1062.019657296	947.559143866	981.7659966948	549.1547539948	37	15	32	15	32	15	32	15	17	8	449.68083	234.71396	50.14587	449.68083	234.71396	50.14587	449.68083	234.71396	50.14587	449.68083	234.71396	50.14587	223.30604	106.11743	0	383.26558	206.99645	0	383.26558	206.99645	0	427.93131	206.99645	0	223.30604	78.39992	0	25.7945256754821	28.7635988387097	27.7038262293907	27.375310765793	27.2005546769713	620.069342378363	6.42983131433097	1068.36619237836	6.9738858375101	4245.86	3.34197484762228	0.0984236444594988
1988	Jenapur	NA	1436.6232761256	1176.06126164	854.74818564	915.3687937963	614.6577757963	47	10	44	10	32	4	33	4	18	3	345.32364	253.31851	81.29087	345.32364	253.31851	81.29087	160.37547	113.86087	81.29087	160.37547	113.86087	81.29087	139.7584	113.86087	81.29087	302.68977	253.31851	81.29087	139.7584	113.86087	81.29087	139.7584	113.86087	81.29087	139.7584	113.86087	81.29087	25.9753072207874	28.4364474650538	28.0079990645161	27.5085303140121	27.396657515457	786.475441083387	6.66756149643342	1249.94184108339	7.13085230208064	4962.76	3.45446164103923	0.101736464174326
1989	Jenapur	NA	1347.18874977131	1214.9443393	847.8525365	889.12941950571	594.30920450571	40	14	38	13	28	7	28	7	18	5	535.78058	420.54599	163.58654	509.98145	420.54599	163.58654	247.64557	202.22898	56.32435	247.64557	202.22898	56.32435	168.95891	123.54232	56.32435	468.91322	392.42284	113.59331	226.28705	202.22898	56.32435	226.28705	202.22898	56.32435	168.95891	123.54232	56.32435	25.8952122577724	28.1688042580645	27.7002304551971	27.3542333882728	27.1541483886649	801.118136511088	6.68600842247433	1279.75408651109	7.15442321854306	4962.76	3.68378967003877	0.108490345163857
1990	Jenapur	265.026450284306	1668.48971735186	1161.4981815	916.1778682	1104.87733486546	761.82673086546	60	10	44	8	38	5	47	7	31	6	350.93717	157.82537	51.73511	262.8982	157.82537	51.73511	166.51962	106.09026	0	234.91141	106.09026	0	189.67123	60.85008	0	180.31546	130.17146	0	106.09026	78.43635	0	133.40163	78.43635	0	109.75281	33.19617	0	25.5710597152847	27.9547849892473	27.4447932078853	26.956691077789	26.955973265009	867.41158425487	6.7655135864595	1361.21708425487	7.2161344934258	5040.19	3.02080974643316	0.0889650934010648
