Year	Station	Annual_DIN_flux	precip	precip_JJAS	precip_JAS	precip_JASO	precip_ASO	pre_gt_10	pre_gt_20	pre_gt_10_JJAS	pre_gt_20_JJAS	pre_gt_10_JAS	pre_gt_20_JAS	pre_gt_10_JASO	pre_gt_20_JASO	pre_gt_10_ASO	pre_gt_20_ASO	R90pTOT	R95pTOT	R99pTOT	R90pTOT_JJAS_1	R95pTOT_JJAS_1	R99pTOT_JJAS_1	R90pTOT_JAS_1	R95pTOT_JAS_1	R99pTOT_JAS_1	R90pTOT_JASO_1	R95pTOT_JASO_1	R99pTOT_JASO_1	R90pTOT_ASO_1	R95pTOT_ASO_1	R99pTOT_ASO_1	R90pTOT_JJAS_2	R95pTOT_JJAS_2	R99pTOT_JJAS_2	R90pTOT_JAS_2	R95pTOT_JAS_2	R99pTOT_JAS_2	R90pTOT_JASO_2	R95pTOT_JASO_2	R99pTOT_JASO_2	R90pTOT_ASO_2	R95pTOT_ASO_2	R99pTOT_ASO_2	temp_annual	temp_JJAS	temp_JAS	temp_JASO	temp_ASO	fert_kgN_km2	ln_fert	fert_dep_kgN_km2	ln_fert_dep	LSC_MCM	LSC_MCM_mm	LSC
1980	Mandleshwar	NA	1224.4083321537	1169.9794561806	886.4437061306	890.4830171513	602.5904438513	43	14	42	14	31	9	31	9	19	6	394.29753	266.36198	69.39751	394.29753	266.36198	69.39751	294.80171	190.50161	69.39751	294.80171	190.50161	69.39751	211.67357	157.35255	69.39751	348.6813	234.72613	69.39751	247.60129	157.35255	69.39751	272.82093	157.35255	69.39751	211.67357	157.35255	69.39751	25.7121370735617	27.2880693064516	26.3068111863799	26.3304780772849	26.2779079740143	718.515805569065	6.57718770328557	989.778405569065	6.89748108531582	2775.79	2.26704599038252	0.0311368922850544
1981	Mandleshwar	NA	1083.2593189247	994.694588611	821.34963511	831.7324968514	502.4132488514	37	13	35	13	30	10	30	10	17	7	346.08229	244.20076	0	346.08229	244.20076	0	246.50549	144.62396	0	246.50549	144.62396	0	151.73425	103.43465	0	323.78398	244.20076	0	224.20718	144.62396	0	224.20718	144.62396	0	129.43594	103.43465	0	25.1114299981072	27.9046008790323	26.2451926164875	26.0220076654906	25.9514228012993	795.979783584986	6.67957378801556	1078.07946358499	6.98293646265294	2800.9	2.58562280616272	0.0355124065179129
1982	Mandleshwar	NA	1103.78970008842	934.280188189	835.880990179	860.252669853	641.350599003	41	12	37	11	35	11	35	11	27	9	187.2463	108.2185	0	187.2463	108.2185	0	187.2463	108.2185	0	187.2463	108.2185	0	164.03825	108.2185	0	164.03825	108.2185	0	138.51758	74.14532	0	164.03825	108.2185	0	164.03825	108.2185	0	25.1646530650025	27.8670718360215	26.6565263369176	26.4266267058132	25.7193685109767	873.443761600906	6.77244374467478	1166.38052160091	7.06166066152725	2826.43	2.5606598791179	0.035169551554312
1983	Mandleshwar	NA	1247.0681808004	1150.005793189	1064.959967	1134.706719596	869.743665596	40	16	39	16	36	16	37	16	27	14	391.26824	244.11794	179.9609	391.26824	244.11794	179.9609	391.26824	244.11794	179.9609	391.26824	244.11794	179.9609	391.26824	244.11794	179.9609	298.75268	179.9609	123.97862	298.75268	179.9609	63.28476	298.75268	179.9609	123.97862	323.19182	244.11794	123.97862	24.7916178275492	28.3963069086021	26.9387807670251	26.2725829190188	25.7658662576165	950.907739616827	6.85741704376648	1254.68157961683	7.1346370979523	2844.88	2.28125458078329	0.031332041104579
1984	Mandleshwar	NA	1197.27017364714	1100.326111467	1017.451708705	1037.30991683924	830.12346779824	25	14	23	14	22	14	22	14	16	13	680.58167	607.72168	335.45011	680.58167	607.72168	335.45011	680.58167	607.72168	335.45011	680.58167	607.72168	335.45011	648.88722	576.02723	335.45011	635.27662	544.49896	335.45011	635.27662	510.99079	335.45011	635.27662	544.49896	335.45011	603.58217	544.49896	335.45011	24.8958279385776	27.173957188172	25.9000645842294	25.727321719422	25.2140036904122	1028.37171763275	6.93573197368407	1342.98263763275	7.20264826839257	2943.94	2.45887692251794	0.0337716068414336
1985	Mandleshwar	NA	1053.565483202	903.224327846	808.834058676	899.410939183	633.833370683	33	9	31	9	28	9	30	9	18	7	294.97027	185.33312	61.15559	294.97027	185.33312	61.15559	294.97027	185.33312	61.15559	294.97027	185.33312	61.15559	270.12183	185.33312	61.15559	294.97027	152.71953	61.15559	270.12183	152.71953	61.15559	294.97027	152.71953	61.15559	270.12183	185.33312	61.15559	25.2839213169626	27.4868194892473	26.1789329856631	25.6422944267473	25.1495825689964	1105.83569564867	7.00835661376687	1431.28369564867	7.26632700983672	2964.04	2.81334197755955	0.0386400304572176
1986	Mandleshwar	NA	1185.93367205817	1038.4336181157	851.77784744	865.38013113	371.79650473	35	19	34	18	28	15	28	15	12	5	537.91112	413.08039	124.96405	537.91112	413.08039	124.96405	450.92099	377.8443	124.96405	450.92099	377.8443	124.96405	115.60409	91.6501	60.07581	467.81673	349.14826	124.96405	377.8443	280.65384	64.88824	402.86539	280.65384	124.96405	115.60409	60.07581	0	25.1427315240222	27.4702960215054	26.3078521397849	26.1303585579637	26.0978011955645	1116.61900019923	7.01806064885116	1452.90408019923	7.28131964638722	3181.95	2.68307585404652	0.0368508818147004
1987	Mandleshwar	87.9815514183766	989.55648317801	808.427155863	730.978604603	795.50224599	586.89366289	32	8	29	7	27	7	29	8	21	8	257.55841	156.01334	0	234.48599	156.01334	0	234.48599	156.01334	0	257.55841	156.01334	0	257.55841	156.01334	0	234.48599	125.20119	0	209.82823	125.20119	0	209.82823	125.20119	0	234.48599	125.20119	0	25.387409306029	28.6175604086022	27.2661563225806	26.8235738044355	26.3847386209677	1116.77527997532	7.01820059707055	1463.89743997532	7.28885763740565	3775.1	3.81494140473526	0.0523965636766781
1988	Mandleshwar	159.924259302574	1181.735746901	1077.936424665	897.0641804	955.582089358	556.502591358	41	15	39	14	32	12	34	13	16	7	427.25601	160.94953	0	400.57651	160.94953	0	331.89356	117.72985	0	358.57306	117.72985	0	189.48946	86.38104	0	376.80709	129.60072	0	308.12414	52.37792	0	334.80364	86.38104	0	189.48946	86.38104	0	25.7501929504774	28.1225130591398	26.8398146344086	26.3668212883065	26.3198394596774	1416.48082058163	7.255930779173	1774.44006058163	7.48124019331466	7098.51	6.0068505320375	0.0825014837731255
1989	Mandleshwar	104.757497259697	956.9452238269	912.437507269	751.296150919	752.418229219	528.979858219	28	12	28	12	23	11	23	11	15	8	303.1698	172.69926	55.58232	303.1698	172.69926	55.58232	280.73632	172.69926	55.58232	280.73632	172.69926	55.58232	249.19685	141.15979	55.58232	256.74768	110.26553	0	256.74768	110.26553	0	256.74768	110.26553	0	249.19685	110.26553	0	25.1699985148145	27.5593857607527	26.6521597921147	26.364604297211	26.061271858647	1442.85303279767	7.27437770521391	1811.64935279767	7.50199295396812	7099.39	7.41880498824058	0.101894065132615
1990	Mandleshwar	252.567555964708	1481.0278506593	1351.51484459	1065.3690305	1118.624041077	768.494976577	56	19	55	19	44	15	45	15	32	6	405.72696	155.3842	0	405.72696	155.3842	0	327.15945	155.3842	0	327.15945	155.3842	0	188.10327	87.07292	0	288.63016	124.41779	0	183.42606	124.41779	0	233.80555	124.41779	0	188.10327	87.07292	0	24.7872470567824	26.5420359086022	25.7048105448029	25.5468845492272	25.6005361731631	1562.2507817343	7.35388286919908	1941.8841817343	7.571414008419	7380.69	4.98349169916986	0.0684460945648184
1991	Mandleshwar	149.541000159949	957.80273511812	923.00178058662	795.25178780562	800.30991346742	509.97629379942	31	11	31	11	26	10	26	10	15	6	372.07647	241.32631	116.36971	372.07647	241.32631	116.36971	346.59898	241.32631	116.36971	346.59898	241.32631	116.36971	240.83022	164.88279	116.36971	349.21804	241.32631	59.16263	299.06671	241.32631	0	299.06671	241.32631	0	217.97179	164.88279	0	25.1973966033208	27.6372859489247	26.4479444874552	26.1735557093414	25.5923675049283	1571.84245299213	7.3600037472238	1955.72705299213	7.57851729739761	7387.85	7.71333149209362	0.10593925877424
1992	Mandleshwar	135.100782493661	957.13720524982	928.56940132582	878.91481712582	894.88228249182	605.69975827182	35	11	35	11	34	11	34	11	26	7	284.12585	230.9843	0	284.12585	230.9843	0	284.12585	230.9843	0	284.12585	230.9843	0	176.59155	123.45	0	260.76279	199.65643	0	260.76279	199.65643	0	260.76279	199.65643	0	153.22849	92.12213	0	25.3190740380805	28.3508311290323	26.8338020609319	26.4365205300739	25.6116817820341	1646.17302149735	7.40620849205372	2034.30882149735	7.61791139472827	7402.79	7.73430387973249	0.106227305411865
1993	Mandleshwar	227.053346072983	1288.6732493328	1208.505056315	1070.0187919	1120.39305143	754.67807783	42	17	41	17	37	17	38	17	30	11	541.88499	339.33405	74.77315	541.88499	339.33405	74.77315	541.88499	339.33405	74.77315	541.88499	339.33405	74.77315	309.12741	152.02469	0	449.28241	275.9486	74.77315	424.44867	275.9486	74.77315	449.28241	275.9486	74.77315	286.35568	152.02469	0	25.3896940275562	27.8885528844086	26.5412958458781	26.3544643062836	25.9333089675179	1716.79194532031	7.44821268018341	2109.17894532031	7.65405402530055	7409.6	5.74978956367431	0.0789708629932332
1994	Mandleshwar	310.038330435001	1646.26593361149	1606.979858353	1333.44245396	1352.8232241628	803.4457341628	55	33	55	33	44	29	44	29	25	17	1023.84471	644.80646	61.037	1023.84471	644.80646	61.037	887.14963	564.89839	61.037	887.14963	564.89839	61.037	531.65348	356.54615	61.037	861.12788	455.36184	61.037	674.24497	338.49085	0	724.4328	407.13298	61.037	485.79806	293.59456	61.037	24.9184132476065	26.660689172043	25.4128363405018	25.3365981928763	25.3115529668459	1857.20932414172	7.52683027667038	2253.84752414172	7.72039404552441	7412.43	4.50257145498905	0.0618408638353645
1995	Mandleshwar	176.295867926935	1007.11222401439	917.4788435936	845.3966138336	855.40483927756	465.77865921756	35	14	34	14	33	14	33	14	17	6	250.77925	71.99037	0	250.77925	71.99037	0	250.77925	71.99037	0	250.77925	71.99037	0	103.48483	0	0	205.39496	71.99037	0	205.39496	37.36926	0	205.39496	71.99037	0	80.16014	0	0	25.4654546013844	28.7144406182796	27.0604488243728	26.8825113839046	26.5379522753136	1918.88123078323	7.55949760289029	2319.77063078323	7.74922359373108	7429.47	7.37700310138804	0.10131993436784
1996	Mandleshwar	180.444277583866	1019.6232675577	890.9659153799	834.71921425	915.989199896	516.585173796	32	7	30	7	29	6	31	6	16	2	234.0308	159.1971	69.10974	234.0308	159.1971	69.10974	211.69446	159.1971	69.10974	211.69446	159.1971	69.10974	24.46281	0	0	187.23165	159.1971	69.10974	187.23165	159.1971	69.10974	187.23165	159.1971	69.10974	24.46281	0	0	25.4208788802276	27.867520561828	26.4252993046595	26.0327937753696	25.4638777219982	2012.45374672015	7.60711002603241	2417.59434672015	7.79052825313063	7429.47	7.28648534845207	0.100076712335729
1997	Mandleshwar	233.503037352127	1333.6702170461	1046.809171703	979.8755219	1039.45705427	564.96437537	39	16	33	15	33	15	33	15	18	8	501.29457	269.65999	131.82894	479.15959	269.65999	131.82894	479.15959	269.65999	131.82894	479.15959	269.65999	131.82894	196.58303	65.22349	0	409.11821	238.07885	131.82894	384.08084	204.4365	131.82894	409.11821	238.07885	131.82894	174.44413	33.64235	0	24.7676900685967	27.5620953817204	26.5308848422939	26.0388408973454	25.6501056050627	2129.66357879145	7.6637193019996	2539.05537879145	7.83954739272773	7443.97	5.58156724567742	0.0766604025007542
1998	Mandleshwar	239.001136567235	1151.99826613962	1003.5653170856	916.117327	957.522703392	635.796446592	33	11	33	11	30	11	30	11	19	6	337.55806	208.02646	58.51356	337.55806	208.02646	58.51356	337.55806	208.02646	58.51356	337.55806	208.02646	58.51356	189.94497	141.12874	58.51356	290.65264	208.02646	58.51356	265.79991	141.12874	0	290.65264	174.6812	0	189.94497	141.12874	0	25.4599255729614	28.3644614112903	26.9993838817204	26.8993594737903	26.7821580080645	2217.96165228516	7.70434387843946	2631.60465228516	7.8753490730645	7444.46	6.46221458730715	0.0887557113448496
1999	Mandleshwar	398.193763351309	1604.7337121046	1448.090709607	1280.217853517	1392.014409663	1022.179308926	61	23	55	23	47	21	51	21	34	14	731.69283	505.88537	247.19591	731.69283	505.88537	247.19591	700.86679	475.05933	247.19591	700.86679	475.05933	247.19591	539.41747	442.86	247.19591	664.29792	442.86	133.29545	583.98568	408.49049	133.29545	608.93459	442.86	133.29545	494.83711	442.86	133.29545	25.1339757011685	27.0092104650538	26.0527062867383	25.8059321369288	25.3428347847222	2264.63070042155	7.72516697845216	2682.52490042155	7.89451375700475	7444.46	4.63906250853086	0.0637155091888483
2000	Mandleshwar	146.170885795412	773.356421254609	758.877688461	629.493771006	631.438994062	253.274498062	29	3	29	3	25	3	25	3	10	0	124.39733	124.39733	0	124.39733	124.39733	0	124.39733	124.39733	0	124.39733	124.39733	0	0	0	0	124.39733	93.37105	0	124.39733	93.37105	0	124.39733	93.37105	0	0	0	0	25.171623399854	27.2103883951613	26.4573873046595	26.5025171972446	26.5366455103047	2133.25801364164	7.6654056739509	2555.40341364164	7.84596538201046	7448.57	9.6314840030891	0.132284250615846
2001	Mandleshwar	255.567404471927	1062.4444638626	922.8767139	675.7476296	777.11333668	423.30715068	39	12	35	10	28	6	32	8	18	4	230.51751	157.79137	0	230.51751	157.79137	0	138.7793	113.29506	0	138.7793	113.29506	0	33.37784	33.37784	0	208.28596	157.79137	0	113.29506	79.91722	0	138.7793	79.91722	0	33.37784	33.37784	0	25.4307863151887	27.1927328064516	26.6662021863799	26.5370655460349	26.7676108355735	2209.44440448798	7.70049636222118	2644.45336448798	7.88021965544336	7475.53	7.03616071641253	0.0966386122102011
