Year	Station	Annual_DIN_flux	precip	precip_JJAS	precip_JAS	precip_JASO	precip_ASO	pre_gt_10	pre_gt_20	pre_gt_10_JJAS	pre_gt_20_JJAS	pre_gt_10_JAS	pre_gt_20_JAS	pre_gt_10_JASO	pre_gt_20_JASO	pre_gt_10_ASO	pre_gt_20_ASO	R90pTOT	R95pTOT	R99pTOT	R90pTOT_JJAS_1	R95pTOT_JJAS_1	R99pTOT_JJAS_1	R90pTOT_JAS_1	R95pTOT_JAS_1	R99pTOT_JAS_1	R90pTOT_JASO_1	R95pTOT_JASO_1	R99pTOT_JASO_1	R90pTOT_ASO_1	R95pTOT_ASO_1	R99pTOT_ASO_1	R90pTOT_JJAS_2	R95pTOT_JJAS_2	R99pTOT_JJAS_2	R90pTOT_JAS_2	R95pTOT_JAS_2	R99pTOT_JAS_2	R90pTOT_JASO_2	R95pTOT_JASO_2	R99pTOT_JASO_2	R90pTOT_ASO_2	R95pTOT_ASO_2	R99pTOT_ASO_2	temp_annual	temp_JJAS	temp_JAS	temp_JASO	temp_ASO	fert_kgN_km2	ln_fert	fert_dep_kgN_km2	ln_fert_dep	LSC_MCM	LSC_MCM_mm	LSC
1980	Musiri	NA	829.120479433675	377.391622548	269.438735148	411.068345658	305.441403458	16	3	7	2	6	1	10	1	8	1	250.99927	161.1094	51.72764	119.28584	83.20927	27.04644	92.2394	56.16283	0	147.23504	72.22163	0	122.64767	72.22163	0	119.28584	83.20927	27.04644	92.2394	56.16283	0	112.93488	56.56124	0	87.27449	40.50244	0	24.6329265795502	24.591409094086	24.4675083476703	24.4877185263777	24.5196696480735	1166.30138633497	7.061592812357	1371.42038633497	7.22360226008539	7370.23	8.88921475565793	0.134191005172742
1981	Musiri	NA	1078.49106409545	613.4444658	519.045599	720.19483658	617.03473388	26	5	15	4	13	4	21	5	19	5	315.48098	188.26326	32.12523	187.81388	150.03802	32.12523	187.81388	150.03802	32.12523	279.14844	188.26326	32.12523	279.14844	188.26326	32.12523	229.02183	164.01135	79.46059	198.66865	150.03802	79.46059	256.38819	172.4333	56.04664	231.42578	156.37483	32.12523	24.3778309564383	24.2817582956989	24.1563978387097	24.1061934571573	23.9372347170699	1292.04161953616	7.16397889708699	1504.45957953616	7.31618902933243	7370.23	6.83383501761469	0.103163126935898
1982	Musiri	NA	682.973739723437	335.54964418	245.54681138	352.10835884	291.01402054	18	0	8	0	7	0	11	0	11	0	113.49352	55.68538	0	72.30106	37.54208	0	52.57214	17.81316	0	75.6213	17.81316	0	75.6213	17.81316	0	104.36927	37.54208	0	84.64035	17.81316	0	41.35453	17.81316	0	17.81316	17.81316	0	24.7240276127454	24.8682166236559	24.7258438315412	24.7337531861559	24.6780043557348	1417.78185273734	7.25684885374621	1637.49877273734	7.40092521803575	7598.83	11.1260939594501	0.167958787486227
1983	Musiri	NA	920.49858144713	497.44411779	373.77393076	490.34233692966	398.52848106966	22	7	11	3	7	3	11	4	9	4	356.26767	267.22038	130.84984	166.4459	117.88379	0	122.95204	85.71081	0	164.84812	114.81506	29.10425	134.86542	96.88435	29.10425	177.12599	117.88379	0	122.95204	85.71081	0	164.84812	114.81506	29.10425	96.88435	96.88435	29.10425	24.9144146774864	24.8082366747312	24.3477852329749	24.2869302528562	24.0547700145609	1543.52208593852	7.34182215283791	1770.53796593852	7.47903871494731	7603.13	8.25979545568338	0.124689332543565
1984	Musiri	NA	896.59057583311	416.76671668	339.17371714	511.17792649	359.18930009	23	5	8	1	8	1	16	3	13	3	302.69939	197.10523	103.21748	91.90718	38.26423	0	91.90718	38.26423	0	200.92901	109.32872	34.63084	170.46436	92.89021	34.63084	113.59197	52.29037	0	113.59197	38.26423	0	189.68482	109.32872	34.63084	147.00163	76.46005	34.63084	24.3604177786294	24.4205488817204	24.2403115089606	24.0672008973454	24.0814965728047	1669.26231913971	7.4201370827555	1903.57715913971	7.55149011040406	7788.17	8.68642857723911	0.131129758272408
1985	Musiri	NA	815.065457903812	474.04873372	352.00561152	448.840916951	368.894070351	16	1	11	1	8	1	11	1	11	1	209.87913	88.42929	30.96412	158.06913	50.16494	30.96412	130.65132	50.16494	30.96412	163.34031	69.30828	30.96412	163.34031	69.30828	30.96412	168.64639	106.9816	30.96412	130.65132	64.61066	30.96412	163.34031	69.30828	30.96412	138.69563	69.30828	30.96412	24.6985316253338	24.4865502903226	24.3291233870968	24.2330630090726	24.2821234744624	1795.00255234089	7.4927617228383	2036.61635234089	7.61904505894077	7799.41	9.56905966799102	0.144453899551515
1986	Musiri	NA	908.6583543118	466.91636333	365.71210423	501.9175875378	431.0994318978	20	2	8	1	7	1	11	1	10	1	267.87195	169.47612	30.53021	106.90895	66.42657	30.53021	106.90895	66.42657	30.53021	145.31179	82.44673	30.53021	132.14457	82.44673	30.53021	127.94046	80.53477	30.53021	117.85483	66.42657	30.53021	122.92911	82.44673	30.53021	109.76189	49.56203	30.53021	24.8642985502984	24.908765811828	24.6512006379928	24.6632348534946	24.5881378691756	1812.50611029899	7.50246575792259	2061.41887029899	7.63114979667886	7812.5	8.59784094090791	0.129792445102243
1987	Musiri	NA	883.410512304979	354.43650121	257.31734411	489.83889211	460.70428871	20	2	7	0	6	0	15	1	15	1	280.52908	96.02142	36.15596	68.13809	17.38487	0	50.75322	0	0	188.51995	42.48059	0	188.51995	42.48059	0	89.20587	32.35657	0	61.57393	14.9717	0	165.41575	42.48059	0	128.40292	42.48059	0	25.0824466137215	25.6402104731183	25.4341438530466	25.2926905460349	25.2277458893369	1812.759785052	7.50260570614198	2068.971505052	7.63480690532205	7824.27	8.85689030299748	0.133703037347304
1988	Musiri	NA	892.38394789668	584.9994769	523.7932684	571.882939644	397.672918244	25	4	19	3	18	3	18	3	13	1	325.33994	186.44561	55.99153	261.26188	146.74777	55.99153	249.64938	146.74777	55.99153	249.64938	146.74777	55.99153	155.49225	79.77825	30.15874	292.83292	175.67262	79.32946	260.68817	161.76382	79.32946	226.39078	131.38561	55.99153	119.95881	48.07376	30.15874	24.8448196110879	24.818970577957	24.5369018817204	24.5236817237903	24.4882012231183	2299.24454264835	7.74033588824442	2562.75522264835	7.84883821756929	7824.27	8.76782915968127	0.132358576146631
1989	Musiri	NA	874.31053860773	517.91259019	435.35168959	581.73226459	370.85030999	20	2	13	2	12	2	17	2	11	0	265.94328	149.5397	0	196.32801	131.99968	0	184.26186	131.99968	0	226.90967	149.5397	0	134.95096	69.69187	0	206.60414	145.68863	23.93713	184.26186	131.99968	23.93713	226.90967	149.5397	23.93713	122.87291	36.18928	0	24.5532917575037	24.5723380913978	24.3734036774194	24.4195231486895	24.5159068864247	2342.05215721979	7.75878281428534	2612.86179721979	7.86820137365871	7829.47	8.95502187640081	0.135184425167955
