Year	Station	Annual_DIN_flux	precip	precip_JJAS	precip_JAS	precip_JASO	precip_ASO	pre_gt_10	pre_gt_20	pre_gt_10_JJAS	pre_gt_20_JJAS	pre_gt_10_JAS	pre_gt_20_JAS	pre_gt_10_JASO	pre_gt_20_JASO	pre_gt_10_ASO	pre_gt_20_ASO	R90pTOT	R95pTOT	R99pTOT	R90pTOT_JJAS_1	R95pTOT_JJAS_1	R99pTOT_JJAS_1	R90pTOT_JAS_1	R95pTOT_JAS_1	R99pTOT_JAS_1	R90pTOT_JASO_1	R95pTOT_JASO_1	R99pTOT_JASO_1	R90pTOT_ASO_1	R95pTOT_ASO_1	R99pTOT_ASO_1	R90pTOT_JJAS_2	R95pTOT_JJAS_2	R99pTOT_JJAS_2	R90pTOT_JAS_2	R95pTOT_JAS_2	R99pTOT_JAS_2	R90pTOT_JASO_2	R95pTOT_JASO_2	R99pTOT_JASO_2	R90pTOT_ASO_2	R95pTOT_ASO_2	R99pTOT_ASO_2	temp_annual	temp_JJAS	temp_JAS	temp_JASO	temp_ASO	fert_kgN_km2	ln_fert	fert_dep_kgN_km2	ln_fert_dep	LSC_MCM	LSC_MCM_mm	LSC
1980	Polavaram	NA	1076.79418531338	1007.277878	767.5403476	785.0251950639	557.8549757639	39	10	39	10	31	10	31	10	21	9	272.05202	130.45853	0	272.05202	130.45853	0	252.90237	130.45853	0	252.90237	130.45853	0	231.29611	130.45853	0	254.0996	60.38544	0	234.94995	60.38544	0	234.94995	60.38544	0	231.29611	130.45853	0	27.1544952646324	27.4324446478495	26.6659128637993	26.8006231634745	26.7315383039875	965.349514098478	6.87249022653937	1228.60511409848	7.11363475126266	11522.12	10.7003921057084	0.0347641069061352
1981	Polavaram	261.954455670832	1140.89594060672	1010.6149861	872.0081874	914.0056018325	639.0075078325	36	7	36	7	32	7	32	7	22	7	332.20735	119.62486	89.56934	332.20735	119.62486	89.56934	313.4601	119.62486	89.56934	313.4601	119.62486	89.56934	259.96986	119.62486	89.56934	242.436	119.62486	89.56934	223.48582	119.62486	89.56934	242.436	119.62486	89.56934	259.96986	119.62486	89.56934	26.5018005089802	27.8647946774194	26.6027195698925	26.5319981930444	26.435268343414	1069.42490528431	6.97487631126936	1344.29987528431	7.2036286176865	13168.56	11.542297181807	0.0374993410714978
1982	Polavaram	132.429536480214	954.17807889235	804.35183674	679.9802516	751.449776201	508.538403601	27	4	26	3	23	3	24	4	17	2	188.79314	77.03454	0	167.43393	77.03454	0	167.43393	77.03454	0	188.79314	77.03454	0	79.84151	22.73295	0	96.75283	54.30159	0	96.75283	29.90317	0	118.11204	54.30159	0	62.20377	0	0	26.8975166375534	28.175356577957	27.1962586594982	27.0434193852487	26.6184852018369	1173.50029647014	7.06774626792858	1459.99463647014	7.28618804104505	14408.21	15.1001268198549	0.0490582417799055
1983	Polavaram	354.306578754955	1361.08554919123	1204.04055836	1057.385661	1170.99196896	881.45088196	56	14	53	13	48	11	51	12	39	9	564.90791	272.79067	86.44546	539.65538	247.53814	86.44546	454.62664	181.02449	43.82219	479.87917	206.27702	43.82219	397.72643	206.27702	43.82219	432.8942	177.99826	86.44546	327.81938	110.76857	43.82219	391.63308	160.62752	43.82219	345.87207	184.05102	43.82219	26.5166658696245	28.3032997258065	26.9429088566308	26.5817592205981	26.1329979930556	1277.57568765598	7.15271956702028	1575.68939765598	7.36244816828888	15177.62	11.1511139097896	0.0362284402527279
1984	Polavaram	126.510013357528	872.70715485189	741.68956882	629.1165098	706.4015666	428.2588335	33	5	30	5	26	5	29	5	16	3	197.47013	98.97105	39.29791	197.47013	98.97105	39.29791	197.47013	98.97105	39.29791	197.47013	98.97105	39.29791	115.79601	75.48936	39.29791	178.80806	75.48936	0	140.39796	75.48936	0	178.80806	75.48936	39.29791	115.79601	75.48936	39.29791	26.6063286359728	27.5225439005376	26.5096759784946	26.474927140121	26.3072010255376	1381.65107884181	7.23103449693787	1691.38415884181	7.43330250159645	15259.38	17.4851093120575	0.056806722911168
1985	Polavaram	124.642490568377	908.6213463782	734.15288315	558.68644022	679.888820683	452.355677163	29	4	24	3	18	2	23	3	16	2	197.20152	25.18301	0	175.42566	25.18301	0	114.28243	0	0	136.05829	0	0	59.65764	0	0	123.2595	25.18301	0	60.06337	0	0	101.00992	0	0	59.65764	0	0	26.6497580396671	27.4216957688172	26.5921396917563	26.2506560188172	26.0957156594982	1485.72647002764	7.30365913702067	1807.07892002764	7.4994669642526	15342.66	16.8856477576236	0.0548591545081989
1986	Polavaram	245.726591652119	1108.6940438637	936.26517893	736.84360313	774.708412464	484.510234864	31	11	31	11	23	9	23	9	14	5	471.28379	373.91227	158.75564	471.28379	373.91227	158.75564	410.99076	351.82365	158.75564	410.99076	351.82365	158.75564	247.68641	208.35833	113.54227	453.44416	351.82365	158.75564	410.99076	351.82365	158.75564	410.99076	351.82365	158.75564	247.68641	208.35833	113.54227	26.7610865030642	27.6448930698925	26.8347009820789	26.8693576896841	26.8521536937724	1500.21419281338	7.31336317210496	1833.18601281338	7.51381072267644	15544.75	14.0207752409564	0.0455515764813398
1987	Polavaram	74.1295390827286	950.0404747977	707.66018008	599.32746586	709.11603576	447.36031416	27	2	22	2	21	2	24	2	14	0	177.04935	49.6504	0	140.91039	49.6504	0	140.91039	49.6504	0	177.04935	49.6504	0	90.85812	0	0	87.94866	49.6504	0	49.6504	24.95958	0	87.94866	49.6504	0	56.12635	0	0	26.7871187269511	28.6640087930108	27.6081370573477	27.3079039648858	27.1400200176971	1500.42415981028	7.31350312032435	1845.01534981028	7.52024287612039	15893.61	16.7294030324175	0.0543515368174707
1988	Polavaram	311.330180117636	1336.90227365611	1203.36236886	1026.932051	1111.9734032064	672.2334602064	54	13	49	11	43	10	48	12	29	7	512.78081	223.39614	80.98582	470.60692	223.39614	80.98582	414.63916	223.39614	80.98582	456.81305	223.39614	80.98582	242.63948	83.46221	0	364.93323	201.10837	80.98582	324.84094	201.10837	80.98582	386.3249	201.10837	80.98582	225.56287	61.17444	0	26.9070539195016	27.9954486505376	26.8851849784946	26.590705921371	26.4920932715054	1903.08836810529	7.55123330242679	2259.29892810529	7.72280983533866	18654.18	13.9532861657758	0.0453323137289662
1989	Polavaram	222.168491434385	1171.92752702219	1088.8059401	884.2242236	911.188424847	524.178267847	30	13	30	13	26	11	26	11	17	6	475.05944	397.27377	214.49387	475.05944	397.27377	214.49387	394.88293	335.6777	176.11339	394.88293	335.6777	176.11339	188.20071	147.91521	75.91955	437.8736	305.75823	62.37971	357.3578	267.37775	62.37971	376.27753	291.263	62.37971	188.20071	125.86013	0	26.5102087876496	27.4253140860215	26.6099863369176	26.5800251433132	26.4991007287186	1938.52029883129	7.56968022846771	2306.35022883129	7.74342156650034	20640.59	17.6125140199128	0.0572206433395476
