Year	Station	Annual_DIN_flux	precip	precip_JJAS	precip_JAS	precip_JASO	precip_ASO	pre_gt_10	pre_gt_20	pre_gt_10_JJAS	pre_gt_20_JJAS	pre_gt_10_JAS	pre_gt_20_JAS	pre_gt_10_JASO	pre_gt_20_JASO	pre_gt_10_ASO	pre_gt_20_ASO	R90pTOT	R95pTOT	R99pTOT	R90pTOT_JJAS_1	R95pTOT_JJAS_1	R99pTOT_JJAS_1	R90pTOT_JAS_1	R95pTOT_JAS_1	R99pTOT_JAS_1	R90pTOT_JASO_1	R95pTOT_JASO_1	R99pTOT_JASO_1	R90pTOT_ASO_1	R95pTOT_ASO_1	R99pTOT_ASO_1	R90pTOT_JJAS_2	R95pTOT_JJAS_2	R99pTOT_JJAS_2	R90pTOT_JAS_2	R95pTOT_JAS_2	R99pTOT_JAS_2	R90pTOT_JASO_2	R95pTOT_JASO_2	R99pTOT_JASO_2	R90pTOT_ASO_2	R95pTOT_ASO_2	R99pTOT_ASO_2	temp_annual	temp_JJAS	temp_JAS	temp_JASO	temp_ASO	fert_kgN_km2	ln_fert	fert_dep_kgN_km2	ln_fert_dep	LSC_MCM	LSC_MCM_mm	LSC
1980	Tikarapara	NA	1422.93783268501	1333.11153011	1062.70226924	1096.2077353784	686.7336333784	56	14	56	14	44	12	44	12	25	8	400.34694	182.3323	0	400.34694	182.3323	0	351.7053	182.3323	0	351.7053	182.3323	0	236.46546	110.78937	0	310.30546	182.3323	0	260.5397	149.34353	0	285.19587	182.3323	0	213.65294	110.78937	0	26.5560552809294	27.8234279758065	27.0697101899642	26.9137888924731	26.8201637921147	494.475308175414	6.20349721690488	814.331608175414	6.70236766409629	8705.67	6.11809581559361	0.0491610752558747
1981	Tikarapara	NA	1230.76843997272	1065.10543439	952.9192406	972.77743707769	667.66155607769	41	14	38	14	35	12	35	12	23	9	393.50431	234.08708	52.05319	393.50431	234.08708	52.05319	350.3245	234.08708	52.05319	350.3245	234.08708	52.05319	304.67979	234.08708	52.05319	282.68257	202.57499	52.05319	234.08708	169.36255	0	282.68257	202.57499	52.05319	282.68257	234.08708	52.05319	26.0724906379319	28.5490024462366	27.387828483871	27.1208733160282	27.0381358192204	547.78523414368	6.30588330163488	882.90902414368	6.7832221648811	8870.87	7.20758650603409	0.0579155203377588
1982	Tikarapara	NA	1198.99714222893	1002.270533758	866.852963918	910.5142841114	706.2618442134	30	11	28	10	24	10	25	11	19	10	421.62712	304.4389	145.26223	394.61397	304.4389	145.26223	394.61397	304.4389	145.26223	421.62712	304.4389	145.26223	396.25781	304.4389	145.26223	329.80821	304.4389	145.26223	329.80821	304.4389	145.26223	356.82136	304.4389	145.26223	331.45205	304.4389	145.26223	26.4060165376672	28.9629996854839	28.0803806917563	27.6854227844422	27.0025680136649	601.095160111946	6.3987532582941	951.486440111946	6.85802543556997	8898.83	7.42189425360688	0.0596375592897299
1983	Tikarapara	NA	1274.95037629522	1066.04012940152	963.8480013	1043.4887840995	768.6790463995	44	10	41	10	39	10	40	10	28	9	271.86985	202.45313	0	271.86985	202.45313	0	271.86985	202.45313	0	271.86985	202.45313	0	240.88736	171.47064	0	228.5658	109.15271	0	228.5658	76.14174	0	228.5658	109.15271	0	197.58331	140.88623	0	26.0038415562433	29.0022740698925	27.7081623154122	27.1984904084341	26.8609882865143	654.405086080212	6.4837265573858	1020.06385608021	6.92762050831898	8924.62	6.99997440365747	0.0562472832756727
1984	Tikarapara	NA	1300.41580401533	1169.061077616	888.082196376	934.2322683519	593.7418553519	39	15	38	15	31	11	32	11	19	9	530.09527	400.85629	157.07033	530.09527	400.85629	157.07033	361.32908	256.32082	49.83621	361.32908	256.32082	49.83621	300.09533	223.16759	49.83621	530.09527	304.26223	57.97577	312.55528	126.57353	0	361.32908	224.58003	0	300.09533	223.16759	49.83621	25.9652351869902	27.9241522795699	27.1143857060932	26.9624527170699	26.7871138378136	707.715012048478	6.56204148730338	1088.64127204848	6.99268565824163	8936.58	6.8720942735441	0.0552197209605794
1985	Tikarapara	NA	1407.6879669792	1254.03378933	1122.163347	1196.63986907	822.31414867	43	17	40	17	38	17	40	17	27	12	554.52691	370.93447	49.77542	554.52691	370.93447	49.77542	554.52691	370.93447	49.77542	554.52691	370.93447	49.77542	410.65185	277.66731	49.77542	531.29647	252.16229	0	506.70414	252.16229	0	531.29647	252.16229	0	410.65185	217.69614	49.77542	26.00832798381	27.9684577473118	26.8140846630824	26.4061910754368	26.215733907034	761.024938016744	6.63466612738618	1157.21868801674	7.05377472231201	8986.48	6.3838579364178	0.0512965683922684
1986	Tikarapara	NA	1372.54315807295	1119.1016335919	735.53655881	807.30997184165	439.57785284165	38	17	33	17	25	9	27	9	14	3	566.17666	471.67841	110.03899	566.17666	471.67841	110.03899	250.95343	156.45518	0	250.95343	156.45518	0	96.81026	46.33585	0	499.1141	440.12307	110.03899	183.89087	91.93766	0	183.89087	124.89984	0	73.77154	46.33585	0	25.9089903603566	28.107826672043	27.2852446738351	26.9531368647513	26.9038037766577	768.445899113855	6.64437016247048	1179.90713911385	7.07319101869682	9043.39	6.58878370913809	0.0529432198404025
1987	Tikarapara	NA	1054.6647525136	874.36096502	808.29259691	871.21665041	458.31963851	29	9	27	9	27	9	28	9	15	2	285.60286	190.44238	56.49386	285.60286	190.44238	56.49386	285.60286	190.44238	56.49386	285.60286	190.44238	56.49386	57.7307	32.25051	0	264.42595	97.31285	56.49386	215.92257	97.31285	56.49386	264.42595	129.56336	56.49386	57.7307	32.25051	0	26.0444387224981	29.0888451747312	27.813458344086	27.4193875080645	27.1722250645161	768.553449274682	6.64451011068986	1195.28217927468	7.08613756977479	9051.26	8.58212050647183	0.0689603897667483
1988	Tikarapara	NA	1183.33051708687	1037.0562226687	834.6096042	873.6896041173	526.7394781173	36	8	36	8	29	6	29	6	12	5	183.53967	34.4649	0	183.53967	34.4649	0	159.11031	34.4649	0	159.11031	34.4649	0	134.08876	34.4649	0	161.10011	34.4649	0	136.67075	34.4649	0	136.67075	34.4649	0	111.6492	34.4649	0	26.2860308982685	28.6839919408602	27.7691783655914	27.2548947898186	27.1314155262097	974.807770201987	6.88224029279231	1416.80399020199	7.25615890281276	9266.18	7.83059328412449	0.0629216013187986
1989	Tikarapara	NA	1117.2834928156	1073.3940316	814.5711785	830.85732493	500.55530653	38	11	38	11	29	8	29	8	18	4	250.82589	156.0361	49.46239	250.82589	156.0361	49.46239	192.61339	122.18471	49.46239	192.61339	122.18471	49.46239	81.28519	38.35847	0	207.89917	156.0361	0	149.68667	122.18471	0	149.68667	122.18471	0	38.35847	38.35847	0	26.1083326444879	28.2869517365591	27.5403295376344	27.1962250438508	26.9583970477151	992.95685984166	6.90068721883323	1450.22056984166	7.27947094097816	9266.18	8.29349047004073	0.0666411447974346
