Year	Station	Annual_DIN_flux	precip	precip_JJAS	precip_JAS	precip_JASO	precip_ASO	pre_gt_10	pre_gt_20	pre_gt_10_JJAS	pre_gt_20_JJAS	pre_gt_10_JAS	pre_gt_20_JAS	pre_gt_10_JASO	pre_gt_20_JASO	pre_gt_10_ASO	pre_gt_20_ASO	R90pTOT	R95pTOT	R99pTOT	R90pTOT_JJAS_1	R95pTOT_JJAS_1	R99pTOT_JJAS_1	R90pTOT_JAS_1	R95pTOT_JAS_1	R99pTOT_JAS_1	R90pTOT_JASO_1	R95pTOT_JASO_1	R99pTOT_JASO_1	R90pTOT_ASO_1	R95pTOT_ASO_1	R99pTOT_ASO_1	R90pTOT_JJAS_2	R95pTOT_JJAS_2	R99pTOT_JJAS_2	R90pTOT_JAS_2	R95pTOT_JAS_2	R99pTOT_JAS_2	R90pTOT_JASO_2	R95pTOT_JASO_2	R99pTOT_JASO_2	R90pTOT_ASO_2	R95pTOT_ASO_2	R99pTOT_ASO_2	temp_annual	temp_JJAS	temp_JAS	temp_JASO	temp_ASO	fert_kgN_km2	ln_fert	fert_dep_kgN_km2	ln_fert_dep	LSC_MCM	LSC_MCM_mm	LSC
1980	Urachikottai	NA	863.561740825805	442.4663826	311.7170517	448.025474433	318.299977733	21	3	10	2	7	1	13	1	10	1	286.69606	189.92573	63.16298	139.82519	98.02041	63.16298	107.76218	65.9574	31.09997	169.03702	100.67109	31.09997	136.96102	83.83698	31.09997	139.82519	98.02041	63.16298	107.76218	65.9574	31.09997	144.37145	66.78233	31.09997	98.49848	31.09997	31.09997	24.1171937282667	23.8653934516129	23.7465538243728	23.8328142745296	23.9035289251792	1166.30138633497	7.061592812357	1373.00679313786	7.22475835341623	7370.23	8.53468796909878	0.193530339435347
1981	Urachikottai	NA	1078.97721068153	647.9611764	564.4445521	740.76724836	635.00640696	29	5	21	4	19	4	25	5	22	5	267.24481	155.90069	72.84943	191.40529	135.32787	72.84943	191.40529	135.32787	72.84943	241.06231	155.90069	72.84943	228.35956	155.90069	72.84943	213.9592	166.75048	72.84943	191.40529	151.24229	72.84943	216.4075	155.90069	72.84943	216.4075	137.6604	72.84943	23.8859671630245	23.6543227983871	23.5148252867384	23.5058922463038	23.3511101993728	1292.04161953616	7.16397889708699	1506.25205992401	7.31737976482243	7370.23	6.83075594835282	0.154892425132717
1982	Urachikottai	NA	686.82388690569	374.251471312	271.501047112	377.317577432	304.572560442	15	0	7	0	5	0	9	0	9	0	146.06094	36.0909	0	92.59913	36.0909	0	76.20816	19.69993	0	101.79608	19.69993	0	101.79608	19.69993	0	103.99232	36.0909	0	76.20816	19.69993	0	89.16369	19.69993	0	63.2203	19.69993	0	24.1934068283176	24.1185315026882	23.9609616702509	24.0257788308132	23.9887152152778	1417.78185273734	7.25684885374621	1639.49732671015	7.40214496573147	7598.83	11.0637241145392	0.250878097835355
1983	Urachikottai	NA	938.775276814338	579.31812847	429.738426	531.35745641	428.72028461	27	8	18	4	10	3	13	4	10	4	365.52426	243.6802	88.85017	222.27461	139.14283	56.59968	142.24303	99.3889	56.59968	181.75213	123.72692	56.59968	149.14204	106.46868	56.59968	233.93298	154.49468	56.59968	142.24303	99.3889	56.59968	181.75213	123.72692	56.59968	135.60134	106.46868	28.9243	24.3864902859143	24.1319887956989	23.6556580609319	23.6229140925739	23.3948316933244	1543.52208593852	7.34182215283791	1772.74259349629	7.48028311420121	7603.13	8.0989883178439	0.183650528749295
1984	Urachikottai	NA	846.042944813918	424.7953351	344.63440732	512.96689792	360.41040992	19	5	7	2	7	2	14	4	12	3	284.58989	195.90699	118.45977	107.18801	47.19261	26.95344	107.18801	47.19261	26.95344	191.13959	131.14419	72.10439	155.76616	110.90502	72.10439	118.35676	63.10747	26.95344	107.18801	63.10747	26.95344	191.13959	114.47499	45.15095	155.76616	94.23582	45.15095	23.8776589008061	23.7614412043011	23.5811881612903	23.4584141678427	23.4869189979839	1669.26231913971	7.4201370827555	1905.98786028243	7.55275571498213	7788.17	9.20540741783854	0.208739397229899
1985	Urachikottai	NA	735.274255531615	426.36738187	334.33870697	432.77843217	362.21960467	12	3	7	2	7	2	10	3	10	3	149.45361	81.62492	38.76259	101.19926	59.5901	38.76259	101.19926	59.5901	38.76259	149.45361	81.62492	38.76259	149.45361	81.62492	38.76259	112.50258	59.5901	38.76259	101.19926	59.5901	38.76259	149.45361	81.62492	38.76259	96.27874	81.62492	38.76259	24.2278460373707	23.8827893924731	23.7374834121864	23.6413247466398	23.6908234256272	1795.00255234089	7.4927617228383	2039.23312706857	7.6203290980597	7799.41	10.6074841344212	0.240532520054904
1986	Urachikottai	NA	905.080594221093	496.102281202	383.442935612	508.7180547113	436.2849033313	20	3	10	2	9	2	12	2	11	2	261.15139	149.96293	36.12727	136.38164	93.63664	36.12727	136.38164	93.63664	36.12727	179.59604	110.85859	36.12727	165.14704	110.85859	36.12727	147.84078	109.33035	36.12727	136.38164	109.33035	36.12727	154.92378	94.36457	36.12727	140.47478	59.51896	36.12727	24.3433448127403	24.1911138790323	23.9240228387097	23.9967890821573	23.9520260880376	1812.50611029899	7.50246575792259	2064.24171861163	7.63251823147485	7812.5	8.63182798292498	0.195733060837301
1987	Urachikottai	NA	843.850858944909	365.24968513	268.05750783	491.25181383	461.9793182	20	3	8	0	6	0	15	2	15	2	284.96256	143.65084	45.69558	99.58929	34.62028	0	68.77576	16.73132	0	194.12006	80.0663	0	194.12006	80.0663	0	111.09511	34.62028	0	68.77576	16.73132	0	120.50233	63.33498	0	80.0663	45.72727	0	24.4912960165768	24.9112047876344	24.705536827957	24.6229780115927	24.591314015457	1812.759785052	7.50260570614198	2072.00042694961	7.63626980943611	7824.27	9.27210053419026	0.21025171279343
1988	Urachikottai	NA	869.392575265755	586.620764	532.8241969	571.0515251304	390.5728559304	25	3	19	3	18	3	18	3	13	1	334.07551	194.23505	60.82059	279.76845	139.92799	60.82059	279.76845	139.92799	60.82059	279.76845	139.92799	60.82059	178.53745	67.03768	33.03229	291.47265	171.12772	60.82059	279.76845	155.82819	60.82059	254.52637	123.77027	60.82059	126.44399	33.03229	33.03229	24.3211720508397	24.1780128360215	23.8760311146953	23.8734431797715	23.8374234870072	2299.24454264835	7.74033588824442	2565.99021813091	7.85009973306033	7824.27	8.99969728589905	0.204074768387734
1989	Urachikottai	NA	794.828116902393	493.9931556	414.1641076	550.47883463	341.27858163	20	3	14	3	13	3	17	3	10	0	281.74354	161.16055	29.63036	220.63764	141.96029	29.63036	204.30246	125.62511	29.63036	265.40836	144.82537	29.63036	151.6779	69.6599	0	231.84342	141.96029	29.63036	204.30246	125.62511	29.63036	229.05575	111.75838	29.63036	85.53927	19.20026	0	24.0533654852222	23.9174384731183	23.7040957419355	23.8017772752016	23.9076107755376	2342.05215721979	7.75878281428534	2616.30286628731	7.86951748045039	7829.47	9.85051967023139	0.223367792975769
