Year	Station	Annual_DIN_flux	precip	precip_JJAS	precip_JAS	precip_JASO	precip_ASO	pre_gt_10	pre_gt_20	pre_gt_10_JJAS	pre_gt_20_JJAS	pre_gt_10_JAS	pre_gt_20_JAS	pre_gt_10_JASO	pre_gt_20_JASO	pre_gt_10_ASO	pre_gt_20_ASO	R90pTOT	R95pTOT	R99pTOT	R90pTOT_JJAS_1	R95pTOT_JJAS_1	R99pTOT_JJAS_1	R90pTOT_JAS_1	R95pTOT_JAS_1	R99pTOT_JAS_1	R90pTOT_JASO_1	R95pTOT_JASO_1	R99pTOT_JASO_1	R90pTOT_ASO_1	R95pTOT_ASO_1	R99pTOT_ASO_1	R90pTOT_JJAS_2	R95pTOT_JJAS_2	R99pTOT_JJAS_2	R90pTOT_JAS_2	R95pTOT_JAS_2	R99pTOT_JAS_2	R90pTOT_JASO_2	R95pTOT_JASO_2	R99pTOT_JASO_2	R90pTOT_ASO_2	R95pTOT_ASO_2	R99pTOT_ASO_2	temp_annual	temp_JJAS	temp_JAS	temp_JASO	temp_ASO	fert_kgN_km2	ln_fert	fert_dep_kgN_km2	ln_fert_dep	LSC_MCM	LSC_MCM_mm	LSC
1980	Vijayawada	NA	686.02292995267	551.6755633	400.0970736	440.4384695957	318.8012743957	12	0	12	0	8	0	8	0	5	0	135.90819	13.89558	0	135.90819	13.89558	0	99.95583	13.89558	0	99.95583	13.89558	0	64.57654	13.89558	0	135.90819	0	0	88.67857	0	0	88.67857	0	0	52.69289	0	0	26.5949204041199	26.2272580080645	25.7905816774194	26.0552383674395	26.0412430920699	1199.24055342518	7.0894437632823	1427.79565342518	7.26388703281746	23689.35	34.5314259417457	0.137378365458886
1981	Vijayawada	NA	846.409141439504	678.3244926	546.9642344	624.39104237	494.47394617	20	1	20	1	19	1	19	1	17	1	267.4663	170.77461	21.56025	267.4663	170.77461	21.56025	253.2893	156.59761	21.56025	253.2893	156.59761	21.56025	228.70517	156.59761	21.56025	267.4663	170.77461	21.56025	219.29712	142.47845	21.56025	207.66109	127.51765	0	183.07696	127.51765	0	26.2399541679302	26.4465415456989	25.787355172043	25.8164804415323	25.6466383306452	1328.53199440156	7.19182984801229	1566.27521440156	7.3564556046611	23736.88	28.044215070303	0.111569919916864
1982	Vijayawada	26.5644083216587	700.793502442283	499.43773017	393.21193337	485.611446891	348.643464991	17	0	12	0	11	0	14	0	10	0	183.76767	47.01537	0	127.912	14.91716	0	117.25376	14.91716	0	161.24136	47.01537	0	113.01013	32.09821	0	84.88108	14.91716	0	39.90723	14.91716	0	83.89483	17.85948	0	45.03304	17.85948	0	26.4745739495063	26.740410594086	26.1790703476703	26.2487018232527	26.1149683449821	1457.82343537794	7.28469980467151	1704.75477537794	7.44117655261575	24622.23	35.1347863731483	0.139778749097503
1983	Vijayawada	100.308343480468	855.63518507428	710.08195868298	594.1641362	691.779080973	541.497837273	20	2	17	2	14	2	17	2	15	2	292.29906	196.54948	25.36918	255.82031	196.54948	25.36918	208.25068	162.43484	25.36918	244.72943	162.43484	25.36918	219.18721	147.49259	25.36918	234.36297	196.54948	46.41808	175.68923	148.50447	25.36918	201.25151	133.56222	25.36918	186.30926	133.56222	25.36918	26.3501147775833	26.8732379274194	26.0072033476703	25.8747910263777	25.5480016910842	1587.11487635431	7.36967310376321	1843.23433635432	7.51927709899251	24696.85	28.8637616016878	0.114830369198312
1984	Vijayawada	14.6423656887689	636.54171923202	464.014603118	394.212615	515.88273008	321.91794548	15	3	11	3	11	3	15	3	9	2	249.30522	214.0184	69.59204	188.30919	163.86262	69.59204	188.30919	163.86262	69.59204	249.30522	214.0184	69.59204	156.91573	146.07548	47.76583	188.30919	149.93424	69.59204	188.30919	135.88426	69.59204	238.46497	141.69839	69.59204	146.07548	102.58476	47.76583	26.428035954471	26.3781695994624	25.7436609103943	25.7820813077957	25.7873835716846	1716.40631733069	7.4479880336808	1981.71389733069	7.59171735398134	31894.6	50.1060638075387	0.199339846465383
1985	Vijayawada	9.96914419933175	551.15793809663	382.9858838	287.9241597	396.2294003329	280.0210094329	7	0	4	0	4	0	7	0	5	0	94.45043	51.04305	0	43.40738	0	0	43.40738	0	0	94.45043	51.04305	0	72.8173	51.04305	0	11.19952	0	0	0	0	0	51.04305	51.04305	0	51.04305	35.57645	0	26.452798100935	26.2886165403226	25.9273264982079	25.7585715924059	25.7165459941756	1845.69775830707	7.5206126737636	2120.19345830707	7.6592626174211	31932.39	57.9369138912802	0.230493769459262
1986	Vijayawada	10.0578028030075	626.9061370405	478.57180076	349.69020706	380.863063347	298.545138587	9	2	8	2	6	2	6	2	5	2	125.96521	77.14598	43.30392	114.19703	77.14598	43.30392	88.7686	77.14598	43.30392	88.7686	77.14598	43.30392	88.7686	77.14598	43.30392	114.19703	77.14598	43.30392	88.7686	77.14598	43.30392	77.14598	77.14598	22.18238	77.14598	77.14598	0	26.5620346097794	26.5258276048387	26.0355836953405	26.2572864433804	26.2590236449373	1863.69565900283	7.53031670884789	2147.37947900283	7.67200353074819	32271.73	51.4777701050248	0.204796984822664
1987	Vijayawada	4.82265305709197	773.360514732677	444.7815664	353.4032634	513.11284649	408.02938709	13	1	6	0	6	0	11	0	10	0	160.53706	121.28592	22.29006	76.79811	51.06396	0	76.79811	51.06396	0	124.73001	98.99586	0	106.72986	80.99571	0	76.79811	51.06396	0	76.79811	51.06396	0	124.73001	84.47662	0	106.72986	51.197	0	26.5490486903634	27.261011938172	26.6834851397849	26.5656767454637	26.5072187788979	1863.95649814335	7.53045665706728	2156.82843814335	7.67639410597201	32293.71	41.7576400460046	0.166126830227581
1988	Vijayawada	95.9833767632097	849.82058802182	744.8672891	665.8520912	691.8624462408	477.0952140408	23	3	23	3	23	3	23	3	17	1	342.60573	206.136	25.54378	342.60573	206.136	25.54378	342.60573	206.136	25.54378	342.60573	206.136	25.54378	242.21172	129.14508	0	342.60573	206.136	25.54378	320.15359	177.87319	25.54378	308.31156	177.87319	25.54378	195.29268	70.68451	0	26.453292018738	26.5567524005376	25.841549311828	25.814345968246	25.7339563447581	2364.18075987221	7.76818683916972	2666.24081987221	7.88842482669373	32306.88	38.0161182905709	0.151241718215193
1989	Vijayawada	50.7970708670805	754.203344334039	647.6849868	545.6489616	588.1549405951	329.1415602951	16	5	15	5	15	5	15	5	7	1	251.15007	191.01372	92.11126	240.53542	191.01372	92.11126	240.53542	191.01372	92.11126	240.53542	191.01372	92.11126	90.63248	64.15592	0	229.89267	177.18007	133.3521	229.89267	148.43249	92.11126	229.89267	148.43249	92.11126	90.63248	20.78394	0	26.1788851946091	26.1585246344086	25.6702531792115	25.7949954312836	25.8408736933244	2408.19736483466	7.78663376521064	2719.44554483466	7.90818329470028	32356.13	42.9010693774773	0.170675801151644
